USER,Reference Numbers,,Stage,Cartons,Tracking Numbers / Warehouse Location / Machine / Other Reference,Added Time,Referrer Name,Task Owner
YOLI,VPOD,288212,Move to Shipping,8,,1/27/26 13:30,,dmelendez@royalthreads.com
KARA,VPOD,291642,Paperwork Received,,,1/27/26 13:11,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55164,Paperwork Received,,,,,
KARA,VPOD,286792,Paperwork Received,,,,,
KARA,VPOD,286718,Paperwork Received,,,1/27/26 13:06,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55151,Paperwork Received,,,,,
KARA,VPOD,286719,Paperwork Received,,,,,
KARA,VPOD,291678,Paperwork Received,,,1/27/26 12:24,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,WSOD,284964,Paperwork Received,,,,,
KARA,VPOD,289935,Paperwork Received,,,,,
ASTRID,VPOD,279696,Move to Trim,,,1/27/26 11:45,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,286269,Product Received,1,9.622E+33,1/27/26 11:33,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,283854,Product Received,1,9.622E+33,1/27/26 11:33,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,285733,Product Received,1,9.622E+33,1/27/26 11:32,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,290543,Product Received,2,"9622001900005019487000497012721921
9622001900005019487000497012721895",1/27/26 11:30,,dmelendez@royalthreads.com
HOUZE,VPOD,291107,Shipped,3,"9622001900002134169100487403196263
9622001900002134169100487403196274
9622001900002134169100487403196285",1/27/26 11:22,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,286097,Shipped,3,"9622001900002134169100487403196230
9622001900002134169100487403196241
9622001900002134169100487403196252",1/27/26 11:09,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,VPOD,286761,Paperwork Received,,,1/27/26 11:08,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55162,Paperwork Received,,,,,
KARA,VPOD,286762,Paperwork Received,,,,,
KARA,VPOD,286738,Paperwork Received,,,1/27/26 11:07,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55157,Paperwork Received,,,,,
KARA,VPOD,286739,Paperwork Received,,,,,
KARA,VPOD,286660,Paperwork Received,,,1/27/26 11:07,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55142,Paperwork Received,,,,,
KARA,VPOD,286661,Paperwork Received,,,,,
KARA,VPOD,286757,Paperwork Received,,,1/27/26 11:06,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55161,Paperwork Received,,,,,
KARA,VPOD,286758,Paperwork Received,,,,,
KARA,VPOD,286731,Paperwork Received,,,1/27/26 11:06,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55155,Paperwork Received,,,,,
KARA,VPOD,286730,Paperwork Received,,,,,
KARA,VPOD,286723,Paperwork Received,,,1/27/26 11:05,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55154,Paperwork Received,,,,,
KARA,VPOD,286724,Paperwork Received,,,,,
KARA,VPOD,286703,Paperwork Received,,,1/27/26 11:05,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,PKSO,55148,Paperwork Received,,,,,
KARA,VPOD,286704,Paperwork Received,,,,,
KARA,VPOD,286647,Paperwork Received,,,1/27/26 11:03,,dmelendez@royalthreads.com
KARA,PKSO,55141,Paperwork Received,,,,,
KARA,VPOD,286648,Paperwork Received,,,,,
ASTRID,VPOD,288212,Move to Trim,,,1/27/26 9:56,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,279296,Move to Machines,,Machine 7,1/27/26 9:44,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,285405,Shipped,2,"9622041730002134169100487403196220
9622041730002134169100487403196219",1/27/26 9:22,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,286097,Move to Trim,,,1/26/26 17:43,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,287761,Shipped,7,"9622001900002134169100487403196116
9622001900002134169100487403196127
9622001900002134169100487403196138
9622001900002134169100487403196149
9622001900002134169100487403196150
9622001900002134169100487403196160
9622001900002134169100487403196171",1/26/26 16:47,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,291107,Carrie's Office - Exception,,Asking to embroider left sleeve has Nike logo,1/26/26 16:32,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,286112,Shipped,1,9.622E+33,1/26/26 15:56,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,291107,Move to Machines,,Machine 19/20,1/26/26 15:50,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,281892,Shipped,1,9.622E+33,1/26/26 15:39,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,285921,Shipped,1,1.0019E+33,1/26/26 15:28,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,287635,Shipped,1,9.622E+33,1/26/26 15:18,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,289998,Shipped,2,"9622001900002134169100487403196068
9622001900002134169100487403196079",1/26/26 15:06,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
DMEL,VPOD,287761,Mary's Office / Window,1,"1 pc from Mary to DM at noon 1/26
Completed at 230pm",1/26/26 14:38,,dmelendez@royalthreads.com
DMEL,VPOD,289298,Mary's Office / Window,,,,,
YOLI,VPOD,279632,Carrie's Office - Exception,3,,1/26/26 14:09,,dmelendez@royalthreads.com
COREY,VPOD,291106,Product Received,5,"1ZA248890352763672
1ZA248890352763298
1ZA248890352765385
1ZA248890352765376
1ZA248890352763645",1/26/26 13:35,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,290879,Mary's Office / Window,1,1ZA248890352761889,1/26/26 13:35,,dmelendez@royalthreads.com
DMEL,VPOD,286112,Move to Machines,1,1Z80E16V0335293751,1/26/26 13:24,android-app://com.google.android.googlequicksearchbox/,dmelendez@royalthreads.com
DMEL,VPOD,286112,Product Received,1,,1/26/26 13:23,android-app://com.google.android.googlequicksearchbox/,dmelendez@royalthreads.com
KARA,VPOD,291307,Paperwork Received,,,1/26/26 12:19,,dmelendez@royalthreads.com
KARA,VPOD,291306,Paperwork Received,,,,,
KARA,WSOD,284339,Paperwork Received,,,,,
HOUZE,VPOD,283998,Shipped,17,"9622001900002134169100429922258515
9622001900002134169100429922258490
9622001900002134169100429922258386
9622001900002134169100429922258467
9622001900002134169100429922258504
9622001900002134169100429922258489
9622001900002134169100429922258375
9622001900002134169100429922258434
9622001900002134169100429922258478
9622001900002134169100429922258364
9622001900002134169100429922258456
9622001900002134169100429922258526
9622001900002134169100429922258397
9622001900002134169100429922258412
9622001900002134169100429922258423
9622001900002134169100429922258445
9622001900002134169100429922258401",1/26/26 10:45,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,282678,Shipped,1,9.622E+33,1/26/26 10:34,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,279632,Move to Trim,,,1/24/26 16:43,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,288212,Move to Machines,,Machine 07,1/24/26 15:20,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,286719,Product Received,2,"9622001900005019487000497012568957
9622001900005019487000497012568946",1/24/26 15:02,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,279837,Product Received,2,"9622001900005019487000497012684990
9622001900005019487000490713801897",1/24/26 14:58,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,278887,Product Received,3,"1Z0212620322354762
1Z0212620322354771
1Z0212620322343470",1/24/26 14:57,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,282706,Product Received,2,"9622001900005019487000490713900460
9622001900005019487000490713900470",1/24/26 14:55,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,281865,Product Received,2,"9622001900005019487000490713863900
9622001900005019487000490713863895",1/24/26 14:54,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,284804,Product Received,2,"9632001960202494703600493189313471
9632001960202494703600493189313482",1/24/26 14:53,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,281869,Product Received,29,"1Z80E15V0304240625
1Z77V3120320809493
1Z77V3120320810632
1Z77V3120320806718
1Z77V3120320806834
1ZA248890306357377
1Z80E15V0304233973
1Z77V3120320806558
1Z77V3120320809895
1ZA248890306357797
1ZA248890306358250
1Z77V3120320806549
1Z77V3120320806987
1Z80E15V0304242374
1Z77V3120320808823
1Z77V3120320806530
1Z77V3120320810230
1Z77V3120320810463
1Z77V3120320810203
1Z77V3120320810267
1Z77V3120320806870
1ZA248890306357260
1Z77V3120320806843
1Z77V3120320806772
1Z77V3120320810212
1Z77V3120320810276
1Z77V3120320808298
1Z77V3120320810472
1Z77V3120320810249",1/24/26 14:51,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,279632,Move to Machines,,5 cajas recividas,1/24/26 14:44,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,283609,Product Received,8,"9622001900001629479600490837307858
9622001900001629479600490837307906
9622001900001629479600490837307869
9622001900001629479600490837307891
9622001900001629479600490837307847
9622001900001629479600490837307870
9622001900001629479600490837307917
9622001900001629479600490837307880",1/24/26 14:30,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,281387,Product Received,1,9.622E+33,1/24/26 14:26,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,280228,Product Received,1,1.00189E+33,1/24/26 14:25,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,280609,Product Received,5,"9622001900005019487000490713903138
9622001900005019487000490713903149
9622001900005019487000490713903127
9622001900005019487000490713903150
9622001900005019487000490713903160",1/24/26 14:25,android-app://com.google.android.googlequicksearchbox/,dmelendez@royalthreads.com
DMEL,VPOD,283998,Carrie's Office - Exception,1,"1 unit from Kara
In bag",1/24/26 14:19,,dmelendez@royalthreads.com
ASTRID,VPOD,79632,Carrie's Office - Exception,,"Missing 8 xl from navy style 
And 3 extras from size L navy style D32430M",1/24/26 14:05,,dmelendez@royalthreads.com
HOUZE,VPOD,277179,Shipped,1,9.622E+33,1/24/26 13:28,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
DMEL,VPOD,277179,Mary's Office / Window,1,"White shipping bag
1 unit",1/24/26 13:13,,dmelendez@royalthreads.com
DMEL,WSOD,278893,Mary's Office / Window,,,,,
DMEL,VPOD,277178,Mary's Office / Window,,,,,
KARA,,,Paperwork Received,,,1/24/26 12:26,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/24/26 12:26,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 11:55,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 11:45,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 11:39,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 10:59,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Carrie's Office - Exception,,El estilo que viene en la papelería no concide con el tag de la prenda,1/24/26 10:52,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 10:50,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/24/26 10:47,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/24/26 10:46,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/24/26 10:46,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 10:43,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 10:16,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/24/26 10:08,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
DMEL,,,Carrie's Office - Exception,1,"1 pc
Rhonda
Given to Mary",1/24/26 10:06,,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,4,M7 and M12,1/24/26 10:03,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,Waiting on DST,1/24/26 10:02,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,Waiting on DST,1/24/26 10:02,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/24/26 10:02,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
DMEL,,,Carrie's Office - Exception,1,"1 pc 
Rhonda order
Taken to Mary’s window",1/24/26 9:00,,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,,Machine 24,1/24/26 8:46,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Trim,,,1/24/26 7:57,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Trim,,,1/23/26 18:56,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Trim,,,1/23/26 18:56,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Trim,,,1/23/26 18:55,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,,,Carrie's Office - Exception,1,"Entregado a mis Mery

Se entregó primero el estilo de hombre y en el mismo día se entregó el resto de la orden ropa mujer",1/23/26 18:53,,dmelendez@royalthreads.com
ASTRID,,,Move to Trim,,,1/23/26 17:00,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/23/26 16:55,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,,Machine 18,1/23/26 16:52,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,,Machine 18,1/23/26 16:50,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Special Handling in Process,,115pcs procesando con dolo un logo el segundo logo no lo enviaron ms.kara mandará correo sobre el siguiente logo,1/23/26 16:50,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/23/26 16:50,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,,Machine 16,1/23/26 16:49,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/23/26 16:41,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,1.00191E+33,1/23/26 16:10,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,,,Shipped,1,9.622E+33,1/23/26 16:03,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,,,Carrie's Office - Exception,17,,1/23/26 15:24,,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/23/26 15:05,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/23/26 15:05,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Trim,,,1/23/26 14:41,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Trim,,,1/23/26 14:39,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/23/26 14:37,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/23/26 14:36,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,,Machine 18,1/23/26 14:25,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,,Machine 16,1/23/26 14:19,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,,,Move to Machines,,Machine 16,1/23/26 14:17,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/23/26 14:16,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,,,Paperwork Received,,,1/23/26 14:16,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
